周期,日期,指数,指数特点,盘前检查,中级周期,龙头周期,情绪节点,大盘指数,微盘指数,,情绪,,,,是否开仓,,,,,
,2025/10/24,"向上大阳,大高开",共振,是,A,断板,退潮,1.17,0.81,航天，存储芯片,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/10/27,"向上大阳,大高开",共振,是,A,混沌,修复--中等,1.51,0.12,芯片，台湾，核聚变,"多核心反核,大面数减少",加速,加速,3,买入核心,,,,,
,2025/10/28,"A杀,震荡开",共振,是,A,混沌,混沌,-0.62,0.38,台湾，PCB，机器人,"单核心反核,大面数增加",加速,加速,3,不开,,,,,
,2025/10/29,震荡开,震荡,是,A,混沌,混沌分歧,1.38,-1.06,业绩，PCB，固态,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/10/30,"宽幅震荡,震荡开",震荡,是,A,断板,混沌分歧,-0.74,-0.26,锂电池，业绩,"单核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,
,2025/10/31,宽幅震荡,震荡,是,A,弱转强,退潮,-1.52,1.68,锂电池，业绩，台湾，机器人,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/11/3,宽幅震荡,震荡,是,A,加速,混沌,0.25,1.81,核聚变，海南，云计算,"多核心反核,大面数增加",加速,分歧,2,买入1进2试错,,,,,
,2025/11/4,"向下杀跌,震荡开",震荡,是,A,加速,短线情绪确认,-0.81,0.58,台湾，电力,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,
,2025/11/5,"向上大阳,大低开",震荡,是,A,抗分歧,,0.02,1.2,电力，海南，光伏,"多核心反核,无大面",分歧,加速,3,买入1进2试错,,,,,
,2025/11/6,"向上大阳,震荡开",共振,是,A,断板,退潮,1.53,-0.08,电力，核聚变，有色,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/11/7,"宽幅震荡,震荡开",共振,是,A,穿越,修复--中等,-0.32,0.1,锂电池，光伏,"多核心反核,大面数减少",分歧,中规中矩,2,买入1进2试错,,,,,
,2025/11/10,"小步碎阳,宽幅震荡",共振,是,A,断板,加速转衰竭,0.55,0.73,消费，锂电池，光伏,"多核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,
,2025/11/11,"向下杀跌,宽幅震荡",共振,是,A,弱转强,修复--中等,-1.04,0.52,消费，锂电池，光伏,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,
,2025/11/12,"宽幅震荡,震荡开",震荡,是,A,加速,日内分歧转一致,-0.23,0.02,消费，锂电池,"单核心反核,大面数增加",加速,加速,2,买入核心,,,,,
,2025/11/13,"向上大阳,震荡开",共振,是,A,加速,主升--高潮,0.86,0.62,消费，锂电池,"多核心反核,无大面",加速,中规中矩,3,买入核心,,,,,
,2025/11/14,"宽幅震荡,震荡开",背离,是,A,抗分歧,日内分歧转一致,-1.71,1.09,台湾，锂电池，医药，海南,"单核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,
,2025/11/17,"向下阴跌,震荡开",背离,是,A,加速,主升--加速,-0.43,0.52,台湾，锂电池，AI应用,"多核心反核,大面数减少",加速,中规中矩,2,买入1进2试错,,,,,
,2025/11/18,"向下杀跌,大低开",背离,是,A,,退潮,-0.75,-0.46,AI应用，消费,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/11/19,"宽幅震荡,震荡开",止跌阳,是,A,,修复--弱,0.39,-2.4,消费，水产，台湾,"单核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,
,2025/11/20,"向下阴跌,震荡开",背离,是,A,弱转强,冰点转折,-0.39,-0.77,台湾，锂电池，消费,"单核心反核,大面数增加",分歧,分歧,2,买入核心,,,,,
,2025/11/21,"向下杀跌,大低开",背离,是,D,断板,冰点,-2.56,-4.71,AI应用,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/11/24,"V杀,大高开",背离,是,D,混沌,修复--弱,-0.1,1.88,"AI应用,军工","单核心反核,大面数增加",弱转强,中规中矩,2,买入超预期,,,,,
,2025/11/25,向上大阳,共振,是,D,混沌,修复--中等,0.98,1.86,AI，电池，科技，医药,"多核心反核,大面数减少",分歧,加速,2,买入核心,,,,,
,2025/11/26,"宽幅震荡,震荡开",震荡,是,D,混沌,混沌分歧,41,-1.01,AI，科技，医药,"多核心反核,大面数增加",分歧,中规中矩,2,不开,,,,,
,2025/11/27,"小步碎阳,震荡开",震荡,是,D,混沌,混沌分歧,0.1,1.09,谷歌硬件，消费,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/11/28,"小步碎阳,震荡开",震荡,是,D,混沌,修复--中等,0.32,1.6,消费，航天,"多核心反核,大面数减少",加速,中规中矩,2,买入核心,,,,,
,2025/12/1,"向上大阳,震荡开",震荡,是,D,加速,加速,1.02,-0.19,消费，航天，AI手机,"多核心反核,大面数减少",加速,加速,3,买入核心,,,,,
,2025/12/2,"向下杀跌,震荡开",震荡,是,D,抗分歧,高潮,-0.51,-0.26,台湾，航天，AI手机，消费,"多核心反核,大面数减少",弱转强,中规中矩,2,买入核心,,,,,
,2025/12/3,"宽幅震荡,震荡开",震荡,是,D,抗分歧,小退潮,-0.55,-1.08,航天，台湾，医药,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/12/4,"宽幅震荡,震荡开",震荡,是,D,混沌,修复--弱,0.23,-2.07,航天，台湾，机器人，芯片,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/12/5,"向上大阳,震荡开",共振,是,A,加速,修复--强,0.58,1.64,台湾，航天，金融,"多核心反核,无大面",加速,中规中矩,4,买入超预期,,,,,
,2025/12/8,"向上大阳,大高开",共振,是,A,加速,主升--加速,0.72,0.78,台湾，航天，光通信,"单核心反核,无大面",分歧,加速,2,买入1进2试错,,,,,
,2025/12/9,"向下阴跌,震荡开",震荡,是,A,抗分歧,主升--分歧,-0.49,-0.71,台湾，航天，光通信，消费,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/12/10,"V杀,震荡开",震荡,是,A,混沌,修复--弱,0.15,-1.25,台湾，航天，光通信，消费,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/12/11,"向下杀跌,震荡开",震荡,是,A,混沌,退潮,-0.72,-2.56,航天，光通信，消费,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/12/12,"V杀,震荡开",震荡,是,B,混沌,退潮转衰竭,0.58,-1.41,航天，核聚，电力,"多核心反核,大面数增加",分歧,分歧,2,买入核心,,,,,
,2025/12/15,大低开,震荡,是,B,混沌,日内分歧转一致,-0.65,0.16,航天，消费，核聚变,"多核心反核,大面数减少",分歧,加速,2,买入核心,,,,,
,2025/12/16,向下杀跌,震荡,是,B,混沌,混沌分歧,-1.08,-2.12,航天，消费,"多核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,
,2025/12/17,向上大阳,共振,是,B,混沌,退潮,1.7,0.09,航天，消费，科技,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/12/18,震荡开,共振,是,B,混沌,修复--中等,-0.42,1.64,航天，消费，医药,"多核心反核,无大面",弱转强,分歧,2,"买入核心,买入超预期",,,,,
,2025/12/19,"小步碎阳,震荡开",共振,是,B,混沌,日内分歧转一致,0.34,2.16,消费，航天，核聚变，地产,"多核心反核,无大面",分歧,中规中矩,2,买入核心,,,,,
,2025/12/22,"向上大阳,大高开",共振,是,B,混沌,混沌,0.85,0.43,消费，航天，海南，科技,"多核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,
,2025/12/23,"小步碎阳,震荡开",共振,是,B,混沌,退潮,-0.01,-0.71,科技，海南，航天,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,
,2025/12/24,"向上大阳,震荡开",共振,是,A,弱转强,修复--强,0.38,1.16,航天，科技，俩岸,"多核心反核,无大面",弱转强,中规中矩,3,买入核心,,,,,
,2025/12/25,"小步碎阳,震荡开",共振,是,A,加速,主升--确认,0.21,1.12,航天，机器人，消费,"多核心反核,无大面",加速,加速,3,买入核心,,,,,
,2025/12/26,"V杀,震荡开",共振,是,A,加速,主升--加速,0.32,-0.61,航天，机器人，锂电池,"多核心反核,无大面",加速,中规中矩,3,买入核心,,,,,
,2025/12/29,"小步碎阳,宽幅震荡",共振,是,A,抗分歧,日内分歧转一致,-0.19,0.38,航天，机器人,"多核心反核,大面数增加",分歧,分歧,2,买入核心,,,,,
,2025/12/30,大低开,共振,是,A,断板,小退潮,0.21,-0.82,航天，机器人,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
,2025/12/31,"小步碎阳,震荡开",共振,是,A,弱转强,修复--强,-0.22,0.24,航天，机器人,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,
主升期(主线),2026/1/5,"向上大阳,大高开",共振,是,A,"主升,抗分歧",日内分歧转一致,1.87,1.84,"航天，机器人，AI应用,脑机","多核心反核,大面数增加",分歧,中规中矩,3,买入核心,,,,,
主升期(主线),2026/1/6,"向上大阳,大高开",共振,是,C,主升,日内分歧转一致,1.67,0.5,"航天，机器人，AI应用,脑机","多核心反核,无大面",分歧,中规中矩,2,买入超预期,,,,,
主升期(主线),2026/1/7,"宽幅震荡,震荡开",共振,是,C,主升,日内分歧转一致,-0.01,-0.5,"航天,脑机，机器人，核聚变","多核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,
主升期(主线),2026/1/8,"宽幅震荡,震荡开",共振,是,C,主升,修复--强,-0.48,1.86,"航天,脑机，AI应用，核聚变","多核心反核,无大面",弱转强,加速,4,买入核心,,,,,
主升期(主线),2026/1/9,"向上大阳,震荡开",共振,是,C,主升,主升--加速,0.76,1.09,航天，AI应用，核聚变,"多核心反核,无大面",分歧,加速,2,买入核心,,,,,
主升期(主线),2026/1/12,"向上大阳,大高开",共振,是,C,主升,主升--高潮,0.95,1.44,航天，AI应用,"多核心反核,无大面",加速,加速,4,买入核心,,,,,
过渡期,2026/1/13,向下杀跌,震荡,是,C,断板,主升--分歧,-0.65,0.14,航天，AI应用，医药,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,
过渡期,2026/1/14,"A杀,震荡开",震荡,是,C,主升,修复后反杀,-0.3,0.23,航天，AI应用,"多核心反核,无大面",加速,中规中矩,2,买入核心,,,,,
退潮期,2026/1/15,"向下杀跌,震荡开",背离,是,C,混沌,冰点,-0.2,-0.24,电力，科技，AI应用,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,
退潮期,2026/1/16,"宽幅震荡,大高开",震荡,是,B,混沌,退潮,-0.25,-0.2,科技，机器人，电力,"无明显反核,大面数增加",分歧,分歧,1,不开,,,,,
退潮期,2026/1/19,"宽幅震荡,大低开",震荡,是,B,混沌,修复--弱,0.2,1.73,电力，机器人，航天,"多核心反核,大面数减少",分歧,中规中矩,2,不开,,,,,
退潮期,2026/1/20,"宽幅震荡,震荡开",震荡,是,B,混沌,混沌分歧,-0.18,0.38,电力，AI，化工，,"单核心反核,大面数增加",分歧,加速,1,不开,,,,,
混沌期,2026/1/21,"震荡开,大低开",震荡,是,B,混沌,混沌,0.08,1.29,"芯片,机器人","单核心反核,大面数减少",分歧,分歧,1,不开,,,,,
首修期,2026/1/22,"宽幅震荡,震荡开",震荡,是,B,混沌,修复--中等,0.06,1.57,航天，机器人,"多核心反核,无大面",弱转强,加速,3,买入超预期,,,,,
混沌期,2026/1/23,"宽幅震荡,震荡开",震荡,是,B,混沌,修复高潮,-0.03,0.65,航天，光伏,"多核心反核,无大面",加速,中规中矩,3,买入核心,,,,,
混沌期,2026/1/26,"宽幅震荡,震荡开",震荡,是,B,混沌,混沌分歧,0.09,-0.88,有色，医药，航天,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
混沌期,2026/1/27,"宽幅震荡,震荡开",震荡,是,B,混沌,混沌,-0.22,-0.34,芯片，航天，有色,"多核心反核,大面数减少",分歧,中规中矩,2,买入核心,,,,,
主升期,2026/1/28,"小步碎阳,震荡开",震荡,是,B,确认,主升--确认,0.46,-1.51,有色，化工,"多核心反核,大面数减少",弱转强,中规中矩,3,买入核心,,,,,
主升期,2026/1/29,"宽幅震荡,震荡开",震荡,是,B,抗分歧,日内分歧转一致,0.28,-0.46,有色，白酒，石油，AI,"单核心反核,大面数减少",分歧,中规中矩,3,买入1进2试错,,,,,
退潮期,2026/1/30,"向下杀跌,大低开",背离,是,D,断板,冰点,-1.46,1.58,"消费，农业,AI硬","无明显反核,大面数增加",分歧,分歧,1,不开,,,,,
退潮期,2026/2/2,"向下杀跌,大低开",背离,是,D,混沌,退潮加速,-2.32,-0.84,电力，AI应用,"单核心反核,大面数减少",分歧,分歧,1,不开,,,,,
首修期,2026/2/3,"V杀,大高开",震荡,是,B,混沌,修复--强,1.32,1.35,航天，光伏,"多核心反核,大面数减少",弱转强,加速,3,买入超预期,,,,,
混沌期,2026/2/4,"向上大阳,震荡开",震荡,是,B,混沌,日内分歧转一致,0.9,0.74,光伏，煤炭，航天，地产,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
混沌期,2026/2/5,"V杀,大低开",共振,是,B,混沌,混沌,-1.01,0.22,消费，影视,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,
混沌期,2026/2/6,"V杀,大低开",震荡,是,B,混沌,修复--弱,-0.32,0.71,机器人，消费,"单核心反核,大面数减少",分歧,中规中矩,1,不开,,,,,
首修期,2026/2/9,"向上大阳,大高开",共振,是,B,混沌,修复--强,1.56,1.29,"光伏,sd2，航天，AI硬件","单核心反核,无大面",加速,中规中矩,2,买入超预期,,,,,
混沌期,2026/2/10,"宽幅震荡,震荡开",震荡,是,B,混沌,混沌,0.37,0.2,"sd,AI硬件","单核心反核,大面数增加",分歧,分歧,2,买入1进2试错,,,,,
混沌期,2026/2/11,"宽幅震荡,震荡开",震荡,是,B,混沌,混沌,-0.04,-0.17,化工，AI硬件,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
混沌期,2026/2/12,"宽幅震荡,震荡开",震荡,是,B,混沌,混沌分歧,0.34,-1.25,ai硬件，电力,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
退潮期,2026/2/13,"宽幅震荡,大低开",震荡,是,B,混沌,退潮,-1.21,0.07,ai软件,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
退潮期,2026/2/24,"宽幅震荡,大高开",震荡,是,B,混沌,退潮,1.3,1.93,化工，光纤，有色,"多核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,
首修期,2026/2/25,"A杀,震荡开",震荡,是,B,混沌,修复--中等,0.63,0.81,化工，航运，有色,"多核心反核,无大面",弱转强,中规中矩,3,买入1进2试错,,,,,
主升期(情绪),2026/2/26,"V杀,震荡开",震荡,是,B,确认,龙头确认,0.46,-0.21,AI硬件，光纤，电力，PCB,"单核心反核,无大面",弱转强,中规中矩,3,买入核心,,,,,
主升期(情绪),2026/2/27,"向上大阳,大低开",震荡,是,B,主升,加速,0.17,0.67,华为算力，电力，有色,"多核心反核,无大面",加速,中规中矩,3,买入核心,,,,,
过渡期,2026/3/2,"宽幅震荡,震荡开",震荡,是,B,断板,主升--分歧,0.83,-3.21,石油，有色，军工，光通信,"多核心反核,大面数增加",分歧,分歧,1,不开,,,,,
退潮期,2026/3/3,"向下杀跌,震荡开",震荡,是,B,断板,冰点,-1.84,-2.91,石油，航运，光伏,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
退潮期,2026/3/4,"向下杀跌,震荡开",震荡,是,B,弱转强,退潮,-0.9,-0.58,石油，电力,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
首修期,2026/3/5,"宽幅震荡,大高开",震荡,是,B,混沌,修复--中等,1.02,1.44,消费电子，电力,"多核心反核,大面数减少",弱转强,分歧,3,买入1进2试错,,,,,
修复延续期,2026/3/6,"小步碎阳,大低开",震荡,是,B,混沌,修复延续,0.22,3.03,电网，电算协同，化工,"多核心反核,无大面",弱转强,加速,3,买入超预期,,,,,
过渡期,2026/3/9,"小步碎阳,大低开",震荡,是,B,混沌,日内分歧转一致,-0.9,-0.89,电网，电算协同，,"单核心反核,大面数增加",分歧,中规中矩,2,买入1进2试错,,,,,
混沌期,2026/3/10,"小步碎阳,大高开",震荡,是,B,混沌,混沌分歧,1.11,2.64,光纤，机器人,"大面数减少,无明显反核",分歧,分歧,1,不开,,,,,
首修期,2026/3/11,"小步碎阳,宽幅震荡",震荡,是,B,混沌,修复--中等,0.5,-0.32,电力，化工,"多核心反核,无大面",分歧,分歧,2,买入核心,,,,,
主升期(主线),2026/3/12,"V杀,震荡开",震荡,是,B,混沌,日内分歧转一致,-0.26,-1.26,电力，化工,"多核心反核,无大面",弱转强,中规中矩,4,买入核心,,,,,
退潮期,2026/3/13,"宽幅震荡,震荡开",背离,是,B,混沌,退潮,-0.75,0.19,化工,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
混沌期,2026/3/16,"向下杀跌,震荡开",背离,是,B,混沌,混沌分歧,-0.3,0.27,海洋，芯片,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,
混沌期,2026/3/17,"向下杀跌,震荡开",背离,是,B,混沌,修复--弱,-0.9,-1.93,化工，电力，房地产，光伏,"多核心反核,大面数减少",弱转强,中规中矩,2,买入超预期,,,,,
首修期,2026/3/18,"V杀,震荡开",背离,是,B,混沌,修复--中等,0.6,1.74,电力，科技，机器人,"多核心反核,大面数减少",弱转强,分歧,2,买入超预期,,,,,
混沌期,2026/3/19,"向下杀跌,大低开",背离,是,B,混沌,混沌分歧,-1.82,-2.63,算电，天然气,"多核心反核,大面数增加",分歧,分歧,1,买入超预期,,,,,
混沌期,2026/3/20,"V杀,震荡开",背离,是,D,确立,混沌分歧,-0.92,-3.43,电力，光伏，,"多核心反核,大面数增加",分歧,中规中矩,2,买入核心,,,,,
混沌期,2026/3/23,"向下杀跌,大低开",背离,是,D,确认,冰点,-3.36,-5.47,电力，光伏，机器人,"多核心反核,大面数增加",弱转强,中规中矩,2,买入核心,,,,,
首修期,2026/3/24,"向上大阳,大高开",共振,是,A,抗分歧,修复--强,1.78,5.56,电力，光伏，锂电池,"多核心反核,无大面",加速,中规中矩,4,买入1进2试错,,,,,
主升期,2026/3/25,"向上大阳,大高开",共振,是,A,加速,主升--加速,1.53,2.46,电力，算力,"多核心反核,无大面",加速,中规中矩,4,买入核心,,,,,
过渡期,2026/3/26,"向下杀跌,震荡开",共振,是,A,抗分歧,主升--分歧,-1.48,-1.58,电力，锂电池,"单核心反核,大面数增加",分歧,中规中矩,1,不开,,,,,
混沌期,2026/3/27,"向上大阳,大低开",共振,是,A,抗分歧,修复--中等,0.47,1.73,锂电池，化工，医药，电力,"多核心反核,大面数减少",分歧,中规中矩,2,不开,,,,,
退潮期,2026/3/30,"向上大阳,大低开",共振,是,A,混沌,小退潮,-0.07,0.41,医药，铝，航天，光纤,"单核心反核,大面数增加",分歧,分歧,1,不开,,,,,
混沌期,2026/3/31,"A杀,震荡开",震荡,是,B,混沌,修复--弱,-1.23,-1.69,航天，高铁,"单核心反核,大面数减少",分歧,中规中矩,1,不开,,,,,